Mon Apr  5 19:13:09 2021    output.prof

         253110579 function calls (246500929 primitive calls) in 208.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1828978    1.254    0.000    5.692    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/base.py:256(is_dtype)
  1194754    1.487    0.000    5.659    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:194(is_object_dtype)
  1194730    2.199    0.000    5.586    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
  1267061    0.538    0.000    5.478    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_methods.py:53(_any)
   298680    1.037    0.000    5.381    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/computation/expressions.py:61(_evaluate_standard)
  1493428    1.419    0.000    5.220    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_dtype.py:307(_name_includes_bit_suffix)
  4480315    3.401    0.000    5.129    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/base.py:413(find)
  1271670    4.965    0.000    4.965    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   970946    2.417    0.000    4.945    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:124(__init__)
    74902    0.428    0.000    4.638    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:955(iget)
  1116154    2.067    0.000    4.560    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:5132(__setattr__)
   298680    0.528    0.000    4.553    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:750(__array__)
   672262    1.253    0.000    4.402    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:256(make_block_same_class)
   298680    0.824    0.000    4.349    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:697(take)
   298680    0.740    0.000    4.110    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/common.py:97(is_bool_indexer)
   597365    0.660    0.000    4.089    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:433(__enter__)
   914456    0.792    0.000    3.854    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:381(is_datetime64tz_dtype)
  1194740    1.381    0.000    3.801    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/numerictypes.py:360(issubdtype)
  1222377    1.483    0.000    3.753    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1600(_is_dtype_type)
   597360    0.710    0.000    3.690    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:574(array)
   597368    1.022    0.000    3.680    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1330(is_bool_dtype)
 22853749    3.612    0.000    3.674    0.000 {built-in method builtins.getattr}
  2090760    1.011    0.000    3.413    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:427(dtype)
    74902    0.070    0.000    3.364    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:153(blknos)
    72339    1.271    0.000    3.294    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:228(_rebuild_blknos_and_blklocs)
